Molecule,C_index,O_index,bond_CO,angle_O_C_X,dihedral_real,nu_CO_DFT,SCF_energy,Gibbs_energy,dipole,A_rot,B_rot,C_rot,charge_C,charge_O,lowdin_C,lowdin_O,mayer_CO,s_C,p_C,sp_ratio,HOMO,LUMO,gap,Epar_lowdin_MV_per_cm,nu_CO_exp,HOMO_1,LUMO_1,pi,pi_star
Salicylic_acid,1,2,1.204146061036617,126.17185791372312,0.0321814409766521,1792.9,-496.017278990239,-495.9300255,0.806586683,2344.546559,1215.217189,800.371566,0.350044,-0.305778,-0.449525,0.109913,2.0605,3.027498,2.330123,0.7696530270209923,-0.241248,-0.061393,0.179855,1.7459019076562727,1714.9675023212628,-0.273234145992335,-0.0110480995816735,-0.472319663937482,0.774382285831996
sec-Butyl_acetate,3,5,1.2056701016882685,125.04219627675276,1.7450515571010343,1785.61,-386.287836906122,-386.14844812,1.941272322,3562.939736,1184.934133,1009.748457,0.322386,-0.336526,-0.507781,0.097772,2.0258,3.093383,2.290791,0.740545545120019,-0.274559,0.009241,0.2838,-55.448995887911465,1758.0132450331123,-0.298573997617198,0.0343928178392553,-0.456431795426289,4.73368025965862
Succinic_acid,1,2,1.2023593937338368,125.8055551906587,1.3598269408729218,1818.13,-456.956646462293,-456.8844531,2.4148053,5292.756338,906.477838,853.073083,0.273755,-0.293785,-0.502088,0.10749,2.1035,3.093128,2.347847,0.7590526483223454,-0.290144,-0.014317,0.275827,-27.924563911359343,1758.0,-0.297737687821123,-0.00343962569470487,-0.463865831994512,4.67107877817794
Succinic_acid,5,6,1.202787453750246,125.90238476106737,-115.17555353369386,1813.02,-456.956646462293,-456.8844531,2.4148053,5292.756338,906.477838,853.073083,0.294582,-0.302264,-0.500929,0.108904,2.0613,3.067881,2.342898,0.7636860751769707,-0.290144,-0.014317,0.275827,-32.544860469593694,1722.0,-0.297737687821123,-0.00343962569470487,-0.434543500649958,4.97249486953182
tert-Butyl_acetate,5,7,1.2061005806469876,124.42668561395632,-0.4038110304419402,1781.33,-386.289260540932,-386.15026194,1.971540719,3299.192238,1435.739385,1297.368291,0.351071,-0.348366,-0.505774,0.097116,1.9967,3.090268,2.265985,0.7332648818807949,-0.268619,0.009277,0.277896,-47.12471912915835,1752.7018378868438,-0.301040703962658,0.0284892845030573,-0.477462956814679,0.588433338741638
1-1H-Pyrrol-1-yl_ethanone,1,2,1.2071253706806928,123.22594485804557,0.1941827319439184,1782.25,-362.777311236361,-362.68896868,2.668046648,4829.774354,1685.281124,1259.107304,0.27312,-0.306905,-0.391471,0.121884,2.0679,3.110376,2.346149,0.7542975511642322,-0.233416,-0.043191,0.190225,-38.355891313364985,1732.0,-0.265566085005206,0.0316875047993085,-0.479535249313138,0.530963590316614
2_2-Dimethyl-cycloheptanone,1,0,1.2110174099834403,119.8131777597224,-29.543814399489666,1767.4,-427.749826955605,-427.5487761,2.89569294,1800.94871,1208.187855,963.737306,0.163862,-0.286029,-0.280439,0.138551,2.1324,3.177293,2.434724,0.7662887873419291,-0.241465,-0.019536,0.221929,145.14996753220282,1706.0,-0.312885868926969,0.0305294090034235,-0.417082311544058,0.728294528944822
2_4-Diisocyanato-1-methylbenzene,6,7,1.1679860732585818,180.0,0.0,2343.07,-606.478250822419,-606.38143125,2.671672662,1338.702006,442.867585,333.458563,0.236804,-0.204205,-0.317452,0.194027,2.1063,2.949927,2.571232,0.8716256368377929,-0.241392,-0.045106,0.196286,-64.70815588127533,2270.0,-0.262310785571564,-0.0351099921615713,-0.482606125871711,3.42595382558759
2_4-Diisocyanato-1-methylbenzene,11,12,1.1678947079467397,180.0,0.0,2358.57,-606.478250822419,-606.38143125,2.671672662,1338.702006,442.867585,333.458563,0.232093,-0.202355,-0.317432,0.19554,2.1066,2.947382,2.576962,0.8743223647291053,-0.241392,-0.045106,0.196286,-69.29167225218977,2275.06432748538,-0.262310785571564,-0.0351099921615713,-0.486910065238073,3.33972756203132
2_5-Dichlorophenyl_isocyanate,5,6,1.1668731088721689,180.0,0.0,2350.20,-1318.815220833481,-1318.76632509,0.876616784,1832.959211,415.90595,338.988168,0.241474,-0.196293,-0.313693,0.200609,2.1138,2.950701,2.565391,0.869417470628166,-0.250009,-0.050677,0.1993319999999999,-54.846522272810574,2274.713527851459,-0.276173093601056,-0.0454770881111112,-0.491180032845425,3.35764348694744
2_6-Dimethylphenyl_isocyanate,9,10,1.1713915440133584,180.0,0.0,2361.87,-478.304235398622,-478.18082121,2.192442148,1795.368213,915.668108,610.952216,0.208703,-0.223822,-0.339191,0.177636,2.08,2.948171,2.595596,0.8804089043681659,-0.236034,-0.027841,0.208193,-67.85823238945514,2283.980729183197,-0.251929860115065,-0.0129252495124944,-0.451782594903748,3.33386109227356
2-Nitrocycloheptanone,1,0,1.2052938644882418,122.42793846691882,-29.534574204632907,1789.71,-553.643351780932,-553.49593007,3.453109694,1412.132381,1066.440985,911.318871,0.092411,-0.248029,-0.313827,0.156496,2.1604,3.249269,2.421099,0.7451211333995431,-0.269733,-0.085854,0.183879,96.06338387900912,1718.0,-0.312806293266083,-0.0451822132232664,-0.456778026321147,0.761431152471926
2-Phenyl-3-phenylamino_isoindolin-1-one,1,0,1.2141025455162344,126.91695249359871,-0.0089137392982179,1762.48,-670.01638014537,-669.83874693,3.95426051,1684.689955,299.702719,254.843529,0.191726,-0.363679,-0.348326,0.089016,2.0074,3.137039,2.39507,0.7634811043152476,-0.223274,-0.054813,0.168461,-11.395660431214814,1712.0,-0.256351090600626,-0.0289488448664065,-0.410072577021409,1.02412613715523
2-Phenyl-cycloheptanone,1,0,1.2083888138322862,121.44634590612034,-157.82472417027725,1783.16,-580.145985551255,-579.92301976,2.899889037,1637.107574,394.768704,379.24033,0.200596,-0.285022,-0.286082,0.147576,2.1105,3.162335,2.407896,0.7614297662961071,-0.238668,-0.026861,0.211807,88.51687934390148,1690.0,-0.24739664749111,-0.00618132235526349,-0.404107797373788,5.09836617684428
3-Trifluoromethyl_phenyl_isocyanate,10,11,1.1668335019898937,180.0,0.0,2350.44,-736.763648460761,-736.6925204,2.269629666,1874.723137,391.892229,343.800539,0.240159,-0.196059,-0.313754,0.200729,2.1138,2.950858,2.566366,0.8697016257644385,-0.261801,-0.056485,0.205316,-68.10367867550212,2277.5913978494623,-0.291583669870762,-0.0443565558325971,-0.491001543829339,3.31874954311588
6-Phenylamino_piperidin-2-one,22,24,1.2232111994230594,120.571789699766,16.3998545250479,1670.19,-610.910770121723,-610.73887038,9.115180081,1914.767652,330.833293,327.922415,0.127352,-0.307366,-0.471792,0.088979,2.0766,3.11427,2.50567,0.804576995571996,-0.218737,-0.153212,0.065525,9.125620372681857,1685.0,-0.231169057212581,-0.0419340026375448,-0.34625221706778,0.771921482378648
9-Anthracenone,1,0,1.2203417690122715,121.26442775345043,0.041486864837682,1719.08,-614.663947145568,-614.50212594,3.761677354,1482.848256,442.555408,341.535767,0.244866,-0.328025,-0.248547,0.118237,2.0687,3.10131,2.414141,0.7784262134388371,-0.252457,-0.072786,0.1796709999999999,95.4367896701437,1658.0,-0.252691386944568,-0.0278591961256093,-0.407197534628507,0.753906790930778
Acetic_acid_vinyl_ester,1,2,1.199109646758794,125.70092719541351,0.2693357270381211,1810.71,-306.440638954972,-306.37710613,1.956277709,8578.684874,2626.171202,2035.897183,0.342472,-0.308835,-0.47304,0.128578,2.0384,3.108795,2.264689,0.7284780759104412,-0.260557,-0.020269,0.2402879999999999,-63.80840692163186,1758.0,-0.284287948404549,0.0295903562923247,-0.448366730777083,0.542231629419105
Acetyl_peroxide,1,2,1.1911604439323025,127.73844642890592,-29.265586511422296,1839.85,-456.852138671113,-456.78421215,1.259647065,4791.116452,1266.984164,1254.343403,0.329452,-0.277541,-0.505534,0.144068,2.1011,3.107602,2.278893,0.7333284635548568,-0.296599,-0.018056,0.278543,-61.24058622444088,1797.0,-0.302879035382824,-0.0124414486982324,-0.455365021670681,4.70098646895172
Benzoyl_fluoride,1,0,1.185765848191792,128.14508171058293,-0.0752525945850773,1863.48,-444.803586732123,-444.73272592,4.025482949,3848.56095,1216.641191,924.409572,0.378525,-0.238098,-0.426399,0.17131,2.1581,3.017639,2.310765,0.7657526297877247,-0.281539,-0.075703,0.2058359999999999,-8.770697807210407,1818.0,-0.284995301123532,-0.0342660589628127,-0.498873125194757,4.26470874720687
Benzoyl_isocyanate,1,0,1.2055915148693606,124.40978552526002,0.0001450633749854,1749.46,-513.024900075263,-512.94546869,3.654050647,3246.725935,608.231272,512.265179,0.296772,-0.282587,-0.351779,0.141466,2.0818,3.083072,2.350666,0.7624427843397754,-0.27657,-0.081289,0.1952809999999999,7.831304248712612,1727.8665328809104,-0.279076415882895,-0.0302845101287757,-0.437971954181408,0.915378185542485
Benzoyl_isocyanate,3,4,1.1590580760777256,180.0,0.0,2318.68,-513.024900075263,-512.94546869,3.654050647,3246.725935,608.231272,512.265179,0.280971,-0.157147,-0.284074,0.233786,2.168,2.973291,2.515299,0.8459646230389155,-0.27657,-0.081289,0.1952809999999999,-32.958686016528986,2252.514160979929,-0.279076415882895,-0.0302845101287757,-0.497881456968143,3.37484968352503
Benzoyl_peroxide,1,0,1.1947730557382017,126.69520841386824,154.1496362503512,1811.02,-840.262691937615,-840.09558692,1.135267221,1708.270259,163.666587,160.926813,0.357017,-0.285674,-0.435881,0.147818,2.0759,3.069313,2.287847,0.7453938389470217,-0.272287,-0.064558,0.207729,-36.42778464428383,1783.0,-0.272347882544585,-0.0609519356469351,-0.449775503885918,0.835978364346483
Benzyl_isocyanate,1,0,1.1704615816121433,180.0,0.0,2343.96,-438.984702499544,-438.88679368,2.908210491,2488.686182,858.906326,825.003709,0.23206,-0.229106,-0.34808,0.175778,2.0998,2.964726,2.563854,0.8647861556177535,-0.263257,-0.028369,0.234888,-47.37192761776631,2265.653697155963,-0.267114781079868,-0.0237758675981246,-0.494974231367426,1.47570382082041
Butanedioic_anhydride,1,0,1.1873074020042156,129.02426567019555,57.86400099035547,1853.18,-380.505760032151,-380.45694335,4.520172787,5949.47058,2361.769431,1726.469772,0.246447,-0.230102,-0.427926,0.163423,2.1843,3.11566,2.361468,0.7579350763562134,-0.295964,-0.03807,0.257894,-28.75741954169173,1778.0,-0.323604393944164,-0.021721190185761,-0.446879197655294,0.778757793313164
Butyl_isocyanate,5,6,1.1728502609856044,180.0,0.0,2360.37,-325.886015616542,-325.78294488,3.056084558,5142.827918,1332.673531,1109.287389,0.212179,-0.23746,-0.355287,0.166568,2.0844,2.960586,2.586049,0.8734922748401837,-0.279825,0.004297,0.284122,-53.23449960689362,2277.1664698937425,-0.29358095219532,0.0414679609795608,-0.44703250869514,3.4190755777889
Cycloheptanone,1,0,1.211488002887771,120.10778057319688,-20.13090181432804,1765.89,-349.139211347607,-348.99213461,3.341476981,3153.772302,1758.396094,1234.05122,0.117126,-0.280949,-0.326643,0.124786,2.1481,3.221136,2.430857,0.7546582944650583,-0.243141,-0.018097,0.225044,83.77033996987716,1722.033834586466,-0.322203826592583,0.0252681128694572,-0.400613864561629,0.784457100472331
Ethyl_salicylate,3,4,1.226043878587141,123.80875206272384,-179.99258676036354,1707.74,-574.622440546621,-574.48245746,2.856123347,1882.486276,584.139542,448.294587,0.400438,-0.417732,-0.42946,0.071255,1.7811,3.070164,2.235776,0.7282268960224926,-0.233251,-0.056173,0.1770779999999999,10.893159812403807,1693.92,-0.268683176577641,-0.00518819032904005,-0.445702458707031,0.928634995983494
Fumaric_acid,1,2,1.2056226737702804,123.3676812395042,-0.1619903436616493,1789.88,-455.729284723244,-455.67939878,0.00023342,5674.114058,975.577673,832.450666,0.323917,-0.293208,-0.494534,0.11674,2.0546,3.044418,2.344431,0.7700752656172708,-0.295842,-0.102758,0.1930839999999999,-44.12282984418074,1678.0,-0.312690312314817,0.0180361820328939,-0.46745433187407,4.97577827291816
Furancarboxylic_acid,1,2,1.2047101892081764,125.79404369851264,0.0194311238198858,1798.55,-418.575244237894,-418.52115408,2.866965388,5265.645653,1631.643951,1245.657279,0.264301,-0.291053,-0.49052,0.112331,2.1087,3.036762,2.407643,0.7928322996665528,-0.255672,-0.056126,0.199546,-4.36672732001511,1690.0,-0.291134770124476,0.0227154082893206,-0.410830943209229,3.93710966930009
Gallic_acid,1,2,1.2090224154022124,124.9423746511226,-0.0489535586442906,1775.82,-646.470258579017,-646.37822852,2.411321808,1607.846537,664.32213,470.091913,0.330877,-0.329717,-0.460076,0.090322,2.0413,3.023609,2.354119,0.7785791747544076,-0.231621,-0.049445,0.182176,5.149617101533158,1696.0,-0.240035607808094,-0.0030121637873624,-0.449922108960825,4.65455144944816
Heptyl_isocyanate,8,9,1.1725527683946677,180.0,0.0,2359.53,-443.798218176568,-443.61554565,3.324595946,6802.260959,290.936887,284.617276,0.2074,-0.237113,-0.352065,0.166344,2.0852,2.961559,2.588822,0.874141626082749,-0.281165,0.006206,0.287371,-55.65953542502926,2271.3560540540543,-0.294686668681603,0.0297189297417175,-0.464969095364014,3.39720743572236
Hexane_1_6-diisocyanate,1,0,1.171880978650136,180.0,0.0,2355.45,-571.97114058059,-571.81500356,4.836493841,1230.087241,290.276177,238.730061,0.215116,-0.231369,-0.351913,0.171005,2.0904,2.959747,2.583498,0.8728779858548721,-0.282868,-0.002442,0.280426,-54.49636165132428,2270.0,-0.286899956674081,0.00440984802550783,-0.473062727017789,3.35136569130663
Hexane_1_6-diisocyanate,10,11,1.1721848395543255,180.0,0.0,2361.88,-571.97114058059,-571.81500356,4.836493841,1230.087241,290.276177,238.730061,0.209188,-0.234438,-0.35099,0.168547,2.0882,2.962904,2.585859,0.8727447801211244,-0.282868,-0.002442,0.280426,-55.742087196631445,2273.3192389006344,-0.286899956674081,0.00440984802550783,-0.458163573816836,1.54473785777161
Lactic_acid,3,4,1.2061464730189282,123.57755084404172,124.11394212180208,1798.09,-343.602780856274,-343.53799484,2.338588585,5146.251906,3275.233494,2249.69379,0.285553,-0.328924,-0.49011,0.095678,1.9963,3.092969,2.333718,0.7545235661915785,-0.285103,-0.0155,0.269603,18.677245623194743,1758.0,-0.305566674239396,0.0184279965182904,-0.494464601937251,4.84626540076585
m-Hydroxybenzaldehyde,6,7,1.2075496256903897,125.04906263900162,-0.0122189415895348,1774.79,-420.75274472235,-420.67117773,3.05751668,3689.358699,1136.849337,869.055995,0.0909,-0.271452,-0.258951,0.11625,2.1068,3.268148,2.467034,0.7548721783713589,-0.246391,-0.074019,0.172372,5.745100124034166,1587.0,-0.265561055125301,-0.0207388166171097,-0.440999040230982,0.742399470763486
m-Phthalic_acid,1,2,1.2064763464958608,124.62570566083886,-0.0101711734553324,1788.25,-609.366233836226,-609.27158937,1.908659442,1875.2673,585.83528,446.384381,0.321322,-0.312082,-0.459708,0.103912,2.06,3.027203,2.358126,0.7789784827776663,-0.282425,-0.07535,0.2070749999999999,-18.000033821804845,1689.0,-0.284408740985458,-0.0582295139818059,-0.463172344734372,4.58572708914925
Maleic_acid,1,2,1.2053626027540427,125.77875853125192,175.74898606293124,1795.38,-455.721925937484,-455.6720217,2.307185982,4387.606058,1325.856257,1214.062705,0.349178,-0.309773,-0.490878,0.120628,2.0164,3.034994,2.322071,0.7650990413819599,-0.288215,-0.075375,0.21284,-47.588468969845664,1709.0,-0.298927804602854,-0.00779096254985074,-0.467601816506965,4.71492984095103
Maleic_anhydride,1,0,1.1891731914191477,129.90807833830064,-0.0120880816001388,1840.03,-379.276507772637,-379.24990046,4.190306588,6881.315856,2466.731277,1815.818518,0.298122,-0.216778,-0.412295,0.181342,2.1433,3.066008,2.361986,0.7703782899457535,-0.30876,-0.123863,0.1848969999999999,-43.97926404383953,1779.0,-0.336570614385451,0.0127265850750649,-0.459902939237751,0.809815934667858
Malic_acid,6,7,1.2040760523775065,125.43881742699084,145.81201487091892,1807.78,-532.174883198445,-532.09899295,1.252747562,2768.734981,1084.350878,926.408978,0.281364,-0.315984,-0.499139,0.103287,2.0435,3.090177,2.335148,0.7556680410215983,-0.281658,-0.020334,0.261324,-34.870719282672184,1710.0,-0.292348272410107,-0.00195294344461015,-0.478880322459959,4.87766038043253
Malonic_acid,1,2,1.1994615397894175,126.0315281994652,-117.80693785763869,1816.35,-417.648147941636,-417.602371,2.406133732,5625.27727,1644.910837,1591.140597,0.262835,-0.281177,-0.497914,0.124561,2.092,3.084581,2.351507,0.7623424380815417,-0.296197,-0.014438,0.281759,-39.33436637147419,1700.0,-0.303037742391505,-0.0124216892413201,-0.482453408820507,4.75317745481907
Menthyl_acetate,1,2,1.2054382515272195,125.07995377615768,-0.7274581260741673,1785.46,-620.901021006087,-620.61720069,1.800961767,741.542149,556.243101,377.43233,0.318235,-0.335293,-0.506275,0.100376,2.0299,3.098126,2.288472,0.7386633080772054,-0.274337,0.008184,0.282521,-57.38702598719692,1751.8950318224297,-0.285864661854901,0.0257483520023066,-0.481020933776001,4.74797686372925
o-Nitrobenzoic_acid,1,2,1.2014722660090826,123.76793601508898,21.97334819440343,1807.5,-625.28315201903,-625.20101998,4.153753579,1201.877329,1061.194542,616.415275,0.263906,-0.285797,-0.473582,0.127591,2.0902,3.080724,2.357963,0.7653924856624611,-0.28805,-0.10196,0.1860899999999999,-25.73578998984469,1759.22786,-0.29205424059865,-0.0615626552122493,-0.458214093302214,1.48265792086209
o-Phthalic_acid,9,10,1.2048352383002416,124.87779836179035,-23.601072569356862,1793.26,-609.35528203141,-609.26110553,3.23651374,1148.036102,1048.295494,596.671707,0.318684,-0.304413,-0.456511,0.122614,2.0287,3.053611,2.333048,0.7640292100074304,-0.272115,-0.070009,0.202106,-31.77284448496843,1689.0,-0.280652203529292,-0.0410610090842148,-0.462738252063022,0.875081522833016
Oxalic_acid,1,2,1.1970955849275362,124.28604627935162,-0.0437396637183575,1823.74,-378.328230355704,-378.30940901,0.00027982,6082.199931,3579.673494,2253.423399,0.251739,-0.250776,-0.483463,0.14501,2.0807,3.07575,2.383871,0.7750535641713403,-0.292091,-0.082101,0.20999,21.379685493608505,1730.0,-0.350552849224734,0.0165807690608352,-0.504839143792392,4.73740590685563
p-Benzoquinone,1,0,1.217671243697986,121.35074089674616,-0.013999677570531,1730.05,-381.418555363285,-381.36402088,3.365e-05,5264.014551,1666.444199,1265.743996,0.283515,-0.26655,-0.307934,0.15724,1.9603,3.061069,2.432063,0.7945142693614551,-0.2797,-0.137748,0.141952,44.90625690220152,1702.0,-0.289311994607677,-0.0393880248625421,-0.448457911906164,0.865106713521323
p-Benzoquinone,4,5,1.217670498201381,121.35243278437147,-0.0183756600858869,1729.06,-381.418555363285,-381.36402088,3.365e-05,5264.014551,1666.444199,1265.743996,0.283514,-0.266549,-0.307936,0.157241,1.9603,3.061067,2.432065,0.7945154418377645,-0.2797,-0.137748,0.141952,44.90623027579609,1678.076749435666,-0.289311994607677,-0.0393880248625421,-0.448457911906164,0.865106713521323
p-Hydroxybenzaldehyde,5,6,1.21051964724163,125.2166840635151,-0.0032678669609603,1763.12,-420.755919666274,-420.67397488,3.520863538,5130.523849,997.572925,835.181276,0.090852,-0.289616,-0.26935,0.100731,2.0889,3.261598,2.473252,0.7582945537739476,-0.248475,-0.063582,0.184893,7.160703311016786,1718.9568411386592,-0.258338747422586,-0.0305886566903419,-0.40332038199602,3.318177154118
p-Phthalic_acid,1,2,1.2059106291566553,124.72370576506682,0.0059986558483455,1786.59,-609.365822815609,-609.2710498,2.2316e-05,2952.742651,462.546043,399.901608,0.324082,-0.307195,-0.457853,0.107756,2.0648,3.02613,2.357157,0.7789344806733352,-0.28063,-0.088484,0.1921459999999999,-18.5631637001189,1690.0,-0.28521947656512,-0.032770518557487,-0.465986785700783,0.863431423365884
Phenylacetic_acid,1,2,1.2006362606897227,126.70565752763622,141.72704804798465,1818.89,-460.084705438209,-459.97558083,1.396995089,3471.814201,765.600609,693.679652,0.276747,-0.289915,-0.49329,0.116139,2.1011,3.074416,2.354447,0.7658192645367445,-0.252081,-0.016597,0.235484,-49.57425495326767,1758.0,-0.256281881103699,-0.0128193548249442,-0.488764282412911,4.82016847029254
Phenyl_benzoate,1,0,1.201949225740006,124.95159589547856,-179.65449831571635,1786.07,-651.780492846042,-651.62337452,1.958154402,2133.160295,278.16434,260.218435,0.339788,-0.304099,-0.415341,0.13366,2.0514,3.063788,2.301152,0.7510806883504995,-0.250227,-0.059678,0.1905489999999999,-51.64755739325452,1760.750823271131,-0.261176156296628,-0.0225410544057932,-0.439427062298815,0.925379121713951
Stearic_acid,17,18,1.2041153264338929,126.0295914252578,8.727442378575999,1808.09,-857.931899217609,-857.46842131,1.62606847,921.255285,50.33769,49.62123,0.260063,-0.305242,-0.504764,0.099506,2.0774,3.099769,2.353903,0.7593801344551803,-0.280141,-0.001525,0.278616,-17.422026691852405,1758.0,-0.296661120044652,0.0243707720888051,-0.489630067039557,0.919624753309688
Z-Cyclohept-3-enone,1,0,1.2106800423224957,121.04203532750958,15.807036268824788,1774.38,-347.912808322056,-347.78906437,2.982691675,3299.231316,1880.75739,1311.495125,0.102784,-0.275652,-0.328762,0.127889,2.1668,3.221311,2.449226,0.760319633838521,-0.245911,-0.01937,0.226541,76.9149647733997,1704.0,-0.257754602603155,-0.00128498555074039,-0.343217660077939,0.760563449172413
