Molecule,C_index,O_index,bond_CO,angle_O_C_X,dihedral_real,nu_CO_DFT,SCF_energy,Gibbs_energy,dipole,A_rot,B_rot,C_rot,charge_C,charge_O,lowdin_C,lowdin_O,mayer_CO,s_C,p_C,sp_ratio,HOMO,LUMO,gap,Epar_lowdin_MV_per_cm,nu_CO_exp,HOMO_1,LUMO_1,pi,pi_star
Methacrylic_acid,3,4,1.2059392847710038,126.06117437802284,-0.0653594732516262,1791.66,-306.459781904474,-306.3943351,1.835505941,5332.687247,3529.75723,2151.874974,0.32228,-0.317713,-0.464569,0.09925,2.0483,3.046083,2.344234,0.7695896664667379,-0.278343,-0.054365,0.223978,5.489880409902068,1758.0,-0.285729599969189,0.0308059707671992,-0.462085240263988,4.87699486782381
Methyl_2-methoxybenzoate,2,3,1.2102421030359998,123.04169737348856,10.03537714632801,1748.47,-574.585539204274,-574.44725575,3.424608662,1342.926495,803.952297,513.34177,0.31792,-0.347352,-0.443924,0.10114,1.9786,3.103068,2.28618,0.736748276222113,-0.233992,-0.045326,0.188666,-31.617374947895755,1746.4879356568365,-0.261441071883602,-0.00441507387617735,-0.377050184671826,0.70467803595892
Methyl_2-nitrobenzoate,2,3,1.2032616724233345,123.52196408342976,-21.61801488631871,1787.52,-664.575273274934,-664.46733547,3.659828248,1155.442187,764.525433,508.120232,0.293423,-0.310086,-0.456238,0.131692,2.0408,3.130938,2.279686,0.728115983133489,-0.283322,-0.098733,0.184589,-37.52807443605242,1759.985062240664,-0.288393913538996,-0.057570560260196,-0.396367091313836,0.857898848391743
Methyl_4-chlorobenzoate,2,3,1.2077617636810665,124.3744650872952,-0.0686344846881338,1767.91,-919.642490522439,-919.54461234,1.895056255,3464.332188,416.801981,372.91194,0.355348,-0.334572,-0.441632,0.110307,2.0026,3.065688,2.288091,0.7463548149713866,-0.261174,-0.062181,0.198993,-21.291071660234884,1747.7657082002129,-0.279014800765424,-0.0319093880115014,-0.549422954196889,0.919944853730454
Methyl_acetoacetate,2,3,1.2059590761485233,124.71458649713992,174.88509267101824,1772.52,-420.994966607769,-420.90177187,2.140737215,4118.907167,1208.796214,1051.473441,0.281272,-0.333257,-0.482566,0.106732,1.9913,3.110816,2.313609,0.7437305838725274,-0.262319,-0.037258,0.225061,-40.72254647290052,1718.0,-0.293604834511603,0.00170464451575318,-0.393693918243441,1.05481749334192
Methyl_acetoacetate,5,7,1.2060099651673697,120.17555664195582,16.671134375853526,1798.57,-420.994966607769,-420.90177187,2.140737215,4118.907167,1208.796214,1051.473441,0.181007,-0.265588,-0.343713,0.14389,2.1521,3.18519,2.40686,0.755640950775307,-0.262319,-0.037258,0.225061,62.77024874297399,1746.2122905027934,-0.293604834511603,0.00170464451575318,-0.365714849729436,0.699265870944159
Methyl_butanoate,3,4,1.205274248479988,125.41466660922856,-25.18162836751593,1789.74,-346.974684152095,-346.86113682,1.944350859,6122.167468,1302.298426,1171.300305,0.32111,-0.328194,-0.481706,0.10587,2.0323,3.100299,2.295175,0.7403076283932614,-0.27489,0.005581,0.280471,-35.78563411207051,1761.7941952506596,-0.307290076547455,0.0362759804584033,-0.388959274983862,0.677058451207317
Methyl_chloroacetate,2,3,1.2029327280043551,124.01136519999812,11.784953557220655,1797.89,-727.924820189833,-727.87517425,2.117160702,5726.447737,1649.482593,1427.678874,0.312275,-0.309441,-0.531088,0.122616,2.0309,3.090871,2.307152,0.7464407281960328,-0.287992,-0.036418,0.251574,-15.318896584065516,1773.4247104247104,-0.307333350219878,0.0273686100107076,-0.524783771994274,4.71429918981001
Methyl_dichloroacetate,2,3,1.2023435172520371,121.50591511724647,-0.0483111400274683,1797.39,-1187.483087734642,-1187.4449214,1.593464198,2222.265914,1279.459255,1048.890478,0.295627,-0.300644,-0.553939,0.132424,2.0227,3.089937,2.317081,0.7498796901037141,-0.297249,-0.044182,0.253067,33.06615679491058,1769.7717693836978,-0.318184314680401,-0.0196147941945665,-0.41040940233459,4.73087963455631
Methyl_hexanoate,5,6,1.2046041120986597,125.85340071669184,-126.29437482519576,1791.3,-425.582028409484,-425.41549024,1.662512897,5182.29979,541.069034,509.172906,0.321698,-0.327222,-0.477452,0.110591,2.0094,3.092008,2.294552,0.7420912235673388,-0.2778,0.008149,0.285949,-40.3359835725586,1761.5224775224776,-0.307087880254006,0.0312359746523015,-0.382238285208027,0.856848022370205
Methyl_isobutyrate,2,3,1.2050475114471628,125.58940179598504,148.22909339128287,1788.73,-346.976253127936,-346.86276719,1.809652547,4759.732743,1748.99333,1495.2999,0.312564,-0.328205,-0.458645,0.112262,2.0157,3.099919,2.301514,0.7424432702919013,-0.275499,0.006127,0.281626,-6.8376531614959175,1759.5311720698255,-0.308056896163856,0.033735331727334,-0.380116608484478,4.89781763354085
Methyl_levulinate,2,3,1.2060360609981775,125.0720238138096,132.60146636167187,1783.5,-460.304484058491,-460.18472078,2.298748358,3525.230137,853.287424,829.035143,0.304896,-0.342266,-0.476138,0.108167,1.9822,3.10626,2.29694,0.7394551647318641,-0.253726,-0.017986,0.23574,-50.91752983592956,1718.0,-0.283135302433531,0.00571438254168814,-0.49872263494567,4.90129955339472
Methyl_levulinate,6,8,1.209268340396787,121.47475876120149,145.3170283986677,1788.04,-460.304484058491,-460.18472078,2.298748358,3525.230137,853.287424,829.035143,0.224363,-0.301014,-0.34695,0.131378,2.0868,3.172741,2.372351,0.7477291717161912,-0.253726,-0.017986,0.23574,48.72259933286828,1750.572719060524,-0.283135302433531,0.00571438254168814,-0.444027084141526,4.76261367091149
Methyl_salicylate,2,3,1.2048460108922634,125.52526970089292,0.0397011566766761,1775.03,-535.308085279138,-535.19498525,1.166056548,2275.705492,830.916992,611.013468,0.381686,-0.324692,-0.430526,0.118557,2.0119,3.060991,2.269424,0.7414017225140486,-0.236715,-0.055699,0.181016,-12.26288281792278,1698.7113194909575,-0.268472921961115,-0.00690744405308123,-0.403886172401804,0.92646792470221
N-Benzylacetamide,1,2,1.2197657777479247,121.74064268407396,51.32749952463406,1738.83,-479.509294863975,-479.36188137,3.514425722,2586.047931,588.880484,541.528746,0.332491,-0.393341,-0.481142,0.054255,1.9346,3.07119,2.325611,0.7572344921675311,-0.24811,-0.018133,0.229977,-32.84994221436247,1698.0,-0.254241646594398,-0.0135059854538513,-0.402796732057956,0.569672846351023
n-Butyl_formate,5,6,1.199870134977115,126.10540416297192,0.0,1788.78,-346.968387941656,-346.85431252,2.337282103,11386.450933,921.434862,870.765508,0.215828,-0.306065,-0.456218,0.086966,2.0413,3.135358,2.408168,0.7680679526867425,-0.28845,-0.00299,0.28546,-125.09214182200628,1747.0881863560733,-0.313902343840333,0.0285587966034404,-0.527265147982771,4.46712966036128
N-Ethyl-2-pyrrolidone,6,7,1.2159110993596531,126.78401782484936,-43.97848879195201,1764.55,-365.203970437446,-365.06956325,3.947556156,3090.354496,1774.078478,1246.554304,0.180471,-0.366519,-0.426273,0.057839,2.0396,3.111687,2.437112,0.7832124503524936,-0.242381,0.022299,0.26468,-6.415336057863186,1730.4250139642977,-0.248320919769169,0.0271032076721756,-0.389785892302487,4.8306351186132
N-Ethylacetamide,1,2,1.219398299957811,121.81781556022604,51.895157464650346,1742.32,-287.803840079057,-287.70500004,3.738450353,7305.784006,2139.141971,1910.90228,0.317101,-0.386143,-0.481933,0.055615,1.969,3.072693,2.341526,0.7620435884743448,-0.25063,0.01849,0.26912,-32.42598728837016,1698.0,-0.258960602977203,0.0256070473200314,-0.399923550228839,4.73307422120724
N-Ethylformamide,3,4,1.2136907024007393,125.09756785349512,175.7289506507211,1769.37,-248.491037182583,-248.41759726,3.913273092,10303.431538,3367.911665,2919.571828,0.18178,-0.363763,-0.436519,0.040071,1.9867,3.133712,2.463774,0.7862158360436441,-0.259504,0.014915,0.274419,-101.8601225094057,1698.0,-0.265776002725059,0.0239460834682187,-0.414270573745406,3.71187750925809
N-Formylmorpholine,1,0,1.214218720188418,125.61622776812732,0.0,1753.45,-401.10109574039,-400.98782897,3.035913397,4211.92674,1554.088385,1246.052474,0.139779,-0.358872,-0.412482,0.040921,1.9969,3.153422,2.479298,0.7862246156714833,-0.247028,0.008203,0.255231,-89.51062273298409,1699.42988,-0.263960154091299,0.0359020509603343,-0.531799436346799,4.2223074786531
